VGR ordrsp verification result !!!
ORDRSP Copy back checked on 2014-12-01 at 2014-12-22_05-29-45
 
Integration Missing ordrsps Count - 5248
 
Database ordrsp count - 17029
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR61951908|6928875
 OR61951909|101188638
 OR61951910|6928113
 OR61951910|6928898
 OR61951911|1114689
 OR61951912|101188637
 OR61951913|6928116
 OR61951913|6929069
 OR61951913|6947382
 OR61951914|1114691
 OR61951915|6928117
 OR61951915|6929076
 OR61951916|612555
 OR61951917|1114717
 OR61951918|101188661
 OR61951919|101188673
 OR61951920|6928939
 OR61951920|6928974
 OR61951921|1114736
 OR61951922|612700
 OR61951923|1114744
 OR61951924|6930034
 OR61951924|6930644
 OR61951925|1114761
 OR61951926|6930032
 OR61951926|6930649
 OR61951927|101188749
 OR61951928|6930934
 OR61951928|6931534
 OR61951929|6930935
 OR61951929|6931163
 OR61951930|101188747
 OR61951931|6930936
 OR61951931|6931122
 OR61951932|1114782
 OR61951933|6930937
 OR61951933|6931110
 OR61951935|6931126
 OR61951935|6933238
 OR61951936|6931118
 OR61951936|6933242
 OR61951936|6947384
 OR61951937|6931119
 OR61951937|6931757
 OR61951938|6931120
 OR61951938|6931949
 OR61951939|1114802
 OR61951940|1114823
 OR61951941|612918
 OR61951942|612917
 OR61951943|101188808
 OR61951944|6933272
 OR61951944|6950603
 OR61951945|1114829
 OR61951946|1114834
 OR61951947|1114835
 OR61951950|1114908
 OR61951952|101188935
 OR61951953|1114909
 OR61951954|6936807
 OR61951954|6951397
 OR61951955|1114925
 OR61951956|1114941
 OR61951957|1115026
 OR61951958|101189033
 OR61951959|6940468
 OR61951959|6951393
 OR61951960|613261
 OR61951961|613259
 OR61951962|613260
 OR61951963|101189031
 OR61951964|6940471
 OR61951964|6951459
 OR61951969|1115066
 OR61951970|101189085
 OR61951971|6942379
 OR61951971|6951444
 OR61951972|6942380
 OR61951972|6951450
 OR61951974|1115140
 OR61951975|613551
 OR61951976|6945054
 OR61951976|6950793
 OR61951977|6945055
 OR61951977|6950788
 OR61951978|1115184
 OR61951979|101189176
 OR61951980|101189184
 OR61951981|1115199
 OR61951982|1115213
 OR61951983|6950001
 OR61951983|6951297
 OR61951984|6950002
 OR61951984|6951296
 OR61951985|101189313
 OR61951986|1115214
 OR61951987|613736
 OR61951988|1115215
 OR61951989|101189312
 OR61951990|6950051
 OR61951990|6951410
 OR61951991|1115216
 OR61951992|15827486
 OR61951993|6950050
 OR61951993|6951401
 OR61951994|6950055
 OR61951994|6951429
 OR61951994|6959575
 OR61951994|6981100
 OR61951995|1115217
 OR61951996|613752
 OR61951997|101189321
 OR61951998|101189354
 OR61951999|1115256
 OR61952000|6950745
 OR61952000|6951291
 OR61952001|101189361
 OR61952003|101189364
 OR61952004|101189411
 OR61952005|1115299
 OR61952007|101189413
 OR61952008|1115300
 OR61952009|6953774
 OR61952009|6955794
 OR61952010|6953775
 OR61952010|6955785
 OR61952010|6969585
 OR61952011|1115338
 OR61952012|101189469
 OR61952013|1115367
 OR61952014|614156
 OR61952016|1115389
 OR61952017|15830245
 OR61952018|101189487
 OR61952019|1115394
 OR61952020|614225
 OR61952021|6956804
 OR61952021|6972804
 OR61952022|1115429
 OR61952023|1115430
 OR61952024|101189514
 OR61952025|1115437
 OR61952029|1115466
 OR61952030|6959367
 OR61952030|6972848
 OR61952031|6959368
 OR61952031|6972839
 OR61952032|1115467
 OR61952033|1115507
 OR61952034|614495
 OR61952035|101189604
 OR61952036|6961802
 OR61952036|6972834
 OR61952037|1115550
 OR61952038|15834208
 OR61952039|6961805
 OR61952039|6972832
 OR61952040|6961806
 OR61952040|6972830
 OR61952041|1115551
 OR61952042|614507
 OR61952043|614505
 OR61952044|1115559
 OR61952045|6962132
 OR61952045|6972841
 OR61952046|6962133
 OR61952046|6972840
 OR61952047|101189629
 OR61952048|101189660
 OR61952052|101189671
 OR61952053|1115622
 OR61952054|614638
 OR61952055|1115623
 OR61952056|101189688
 OR61952057|1115657
 OR61952058|614706
 OR61952059|614775
 OR61952060|6967257
 OR61952060|6973460
 OR61952061|6967258
 OR61952061|6972805
 OR61952063|101189788
 OR61952064|1115759
 OR61952065|101189789
 OR61952066|614992
 OR61952067|101189921
 OR61952068|1115769
 OR61952069|101189922
 OR61952070|614994
 OR61952071|614995
 OR61952072|101189931
 OR61952073|101189932
 OR61952074|6973484
 OR61952074|6973516
 OR61952075|6973485
 OR61952075|6973507
 OR61952076|101189935
 OR61952077|6973486
 OR61952077|6973533
 OR61952078|1115797
 OR61952079|101189936
 OR61952080|1115798
 OR61952086|101189938
 OR61952087|101189944
 OR61952088|1115804
 OR61952089|101189949
 OR61952090|1115809
 OR61952091|615175
 OR61952093|615235
 OR61952094|1115835
 OR61952095|615233
 OR61952096|615247
 OR61952097|1115844
 OR61952098|101190010
 OR61952099|1115854
 OR61952100|6979014
 OR61952100|6985660
 OR61952101|6979016
 OR61952101|6985651
 OR61952102|101190050
 OR61952103|1115914
 OR61952104|1115917
 OR61952105|101190073
 OR61952106|1115932
 OR61952107|15836022
 OR61952108|1115937
 OR61952109|101190078
 OR61952110|6979641
 OR61952110|6985675
 OR61952111|101190082
 OR61952112|1115943
 OR61952113|101190084
